# instance_type, electricity_consumption_kwh, embodied_emissions_gco2eq, embodied_adp_gSbeq
db.x1.16xlarge, 0.17500014000000003, 40.0, 0.0031999999999999997
db.x1.32xlarge, 0.3611114, 80.0, 0.0065
db.x1e.16xlarge, 0.277778, 72.0, 0.0042
db.x1e.2xlarge, 0.03472225, 9.0, 5.2E-4
db.x1e.32xlarge, 0.555556, 140.0, 0.0083
db.x1e.4xlarge, 0.0694445, 18.0, 0.00104
db.x1e.8xlarge, 0.138889, 36.0, 0.0021
db.x1e.xlarge, 0.017500014, 4.5, 2.6E-4
db.z1d.12xlarge, 0.17222236000000002, 22.0, 0.0029000000000000002
db.z1d.2xlarge, 0.027777800000000005, 3.6, 4.9E-4
db.z1d.3xlarge, 0.04444448, 5.4, 7.3E-4
db.z1d.6xlarge, 0.08611118000000001, 11.0, 0.00147
db.z1d.large, 0.007222228000000001, 0.9, 1.2200000000000001E-4
db.z1d.xlarge, 0.014444456000000001, 1.8, 2.3999999999999998E-4
dc2.8xlarge, 0.08888896, 26.0, 0.0045000000000000005
dc2.large, 0.00555556, 1.5, 2.8000000000000003E-4
dl1.24xlarge, 0.21388906000000002, 40.0, 0.0038
ds2.8xlarge, 0.07500006000000001, 21.0, 0.0038
ds2.xlarge, 0.008888896, 2.5, 4.6E-4
f1.16xlarge, 0.17500014000000003, 49.0, 0.005
f1.2xlarge, 0.021666684000000002, 6.1000000000000005, 6.2E-4
f1.4xlarge, 0.04444448, 12.0, 0.00124
g2.2xlarge, 0.017500014, 2.9, 6.9E-4
g2.8xlarge, 0.0694445, 11.5, 0.0027
g3.16xlarge, 0.12222232000000001, 24.0, 0.0026
g3.4xlarge, 0.030555580000000002, 6.0, 6.6E-4
g3.8xlarge, 0.061111160000000005, 12.0, 0.00132
g3s.xlarge, 0.007777784000000001, 1.5, 1.6999999999999999E-4
g4ad.16xlarge, 0.07777784000000001, 16.0, 0.0018
g4ad.2xlarge, 0.009722230000000002, 2.1, 2.2E-4
g4ad.4xlarge, 0.019722238, 4.1000000000000005, 4.4E-4
g4ad.8xlarge, 0.03888892000000001, 8.0, 8.8E-4
g4ad.xlarge, 0.005000004, 1.0, 1.1E-4
g4dn.12xlarge, 0.07777784000000001, 12.0, 0.0015
g4dn.16xlarge, 0.10555564, 16.0, 0.002
g4dn.2xlarge, 0.013055566000000001, 2.2, 2.6E-4
g4dn.4xlarge, 0.02500002, 4.1000000000000005, 5.0E-4
g4dn.8xlarge, 0.05277782, 8.0, 0.00101
g4dn.metal, 0.15555568000000003, 24.0, 0.003
g4dn.xlarge, 0.006388894000000001, 1.0, 1.26E-4
g5.12xlarge, 0.058333380000000004, 12.0, 0.00102
g5.16xlarge, 0.07777784000000001, 14.0, 0.00128
g5.24xlarge, 0.11666676000000001, 21.0, 0.0019
g5.2xlarge, 0.009722230000000002, 1.9, 1.6E-4
g5.48xlarge, 0.23611130000000002, 43.0, 0.0039
g5.4xlarge, 0.019722238, 3.5, 3.2E-4
g5.8xlarge, 0.03888892000000001, 6.8, 6.4E-4
g5g.16xlarge, 0.05555560000000001, 12.0, 0.002
g5g.2xlarge, 0.006944450000000001, 1.5, 2.5E-4
g5g.4xlarge, 0.013611122000000002, 3.0, 5.1E-4
g5g.8xlarge, 0.027777800000000005, 6.0, 0.00102
g5g.metal, 0.05555560000000001, 12.0, 0.002
g5g.xlarge, 0.0033333360000000005, 0.75, 1.2700000000000002E-4
g5.xlarge, 0.005000004, 1.0, 8.3E-5
g6.12xlarge, 0.05000004, 12.0, 0.00105
g6.16xlarge, 0.0694445, 14.0, 0.00129
g6.24xlarge, 0.10277786000000001, 22.0, 0.002
g6.2xlarge, 0.008611118000000001, 1.9, 1.6999999999999999E-4
g6.48xlarge, 0.20555572000000003, 43.0, 0.0039
g6.4xlarge, 0.016944458000000003, 3.6, 3.3E-4
g6.8xlarge, 0.03333336, 6.8999999999999995, 6.4E-4
g6e.12xlarge, 0.07222228000000001, 18.0, 0.0011
g6e.16xlarge, 0.09444452000000002, 22.0, 0.0013
g6e.24xlarge, 0.14166678000000002, 33.0, 0.002
g6e.2xlarge, 0.011944454, 2.9, 1.6999999999999999E-4
g6e.48xlarge, 0.28611134000000005, 67.0, 0.0040999999999999995
g6e.4xlarge, 0.023888908, 5.5, 3.3999999999999997E-4
g6e.8xlarge, 0.04722226000000001, 11.0, 6.7E-4
g6e.xlarge, 0.005833338000000001, 1.5, 8.7E-5
