# instance_type, electricity_consumption_kwh, embodied_emissions_gco2eq, embodied_adp_gsbeq
ec32as_v5, 0.04722226000000001, 12.0, 0.0012100000000000001
ec48as_v5, 0.0694445, 18.0, 0.0018
ec64as_v5, 0.09166674000000001, 24.0, 0.0024
ec96as_v5, 0.12777788, 32.0, 0.0033
standard_a1_v2, 0.001250001, 0.17, 2.7E-5
standard_a2_v2, 0.002500002, 0.35, 5.5E-5
standard_a2m_v2, 0.0038888920000000006, 0.9, 1.15E-4
standard_a4_v2, 0.005000004, 0.7, 1.1E-4
standard_a8_v2, 0.010000008, 1.4, 2.2E-4
standard_a8m_v2, 0.015000012000000002, 3.6, 4.6E-4
standard_b12ms, 0.017500014, 3.2, 4.5E-4
standard_b16ms, 0.023333352000000005, 4.2, 6.0E-4
standard_b1ls, 0.0010833342, 0.1, 2.0E-5
standard_b1ms, 0.001250001, 0.17, 2.7E-5
standard_b1s, 0.0011388898000000002, 0.12000000000000001, 2.2E-5
standard_b20ms, 0.027777800000000005, 5.3, 7.5E-4
standard_b2ms, 0.00277778, 0.53, 7.5E-5
standard_b2s, 0.002500002, 0.34, 5.5E-5
standard_b4ms, 0.005833338000000001, 1.1, 1.49E-4
standard_b8ms, 0.011666676000000003, 2.1, 3.0E-4
standard_d16ds_v4, 0.023333352000000005, 4.6, 6.1E-4
standard_d2ds_v4, 0.00277778, 0.58, 7.6E-5
standard_d32ds_v4, 0.04722226000000001, 9.0, 0.00122
standard_d48ds_v4, 0.0694445, 14.0, 0.0018
standard_d4ds_v4, 0.005833338000000001, 1.2, 1.53E-4
standard_d64ds_v4, 0.09444452000000002, 18.0, 0.0024
standard_d8ds_v4, 0.011666676000000003, 2.3, 3.1E-4
standard_d16ds_v5, 0.02500002, 4.1000000000000005, 4.7999999999999996E-4
standard_d2ds_v5, 0.003055558, 0.51, 5.9999999999999995E-5
standard_d32ds_v5, 0.05000004, 8.0, 9.599999999999999E-4
standard_d48ds_v5, 0.07500006000000001, 12.0, 0.0014399999999999999
standard_d4ds_v5, 0.006388894000000001, 1.0, 1.1999999999999999E-4
standard_d64ds_v5, 0.10277786000000001, 16.0, 0.0019
standard_d8ds_v5, 0.012777788000000002, 2.0, 2.3999999999999998E-4
standard_d96ds_v5, 0.15277790000000002, 25.0, 0.0029000000000000002
d2ds_v5, 0.003055558, 0.51, 5.9999999999999995E-5
d4ds_v5, 0.006388894000000001, 1.0, 1.1999999999999999E-4
d8ds_v5, 0.012777788000000002, 2.0, 2.3999999999999998E-4
d16ds_v5, 0.02500002, 4.1000000000000005, 4.7999999999999996E-4
d32ds_v5, 0.05000004, 8.0, 9.599999999999999E-4
d48ds_v5, 0.07500006000000001, 12.0, 0.0014399999999999999
d64ds_v5, 0.10277786000000001, 16.0, 0.0019
d96ds_v5, 0.15277790000000002, 25.0, 0.0029000000000000002
